STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
Upshur St,NE,19th Pl,20th St,1,Pavement Resurface/restoration,2004,100,Completed,0.06,5,LOCAL,,,5/20/2005 12:00:00 AM,,402015.514620,141544.798950,38.94179211841610,-76.97675113791080,,,,5611,,,
Barker Ln,SE,Alabama Ave,Cul De Sac,1,Pavement Resurface/restoration,2004,100,Completed,0.04,7,LOCAL,4/4/2005 12:00:00 AM,5/18/2005 12:00:00 AM,5/20/2005 12:00:00 AM,,405084.421670,133676.700990,38.87090117081260,-76.94140970258970,,,,5631,,,
22nd St,NE,Rand Pl,S St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,5,LOCAL,,,5/20/2005 12:00:00 AM,,402239.859680,138427.995290,38.91371443471450,-76.97417350005810,,,,5873,,,
Water St,SW,T St,Half St,1,Pavement Resurface/restoration,2004,100,Completed,0.09,6,LOCAL,,,5/23/2005 12:00:00 AM,,399097.512380,133209.404670,38.86670581046380,-77.01039919771120,,,,4952,,,
1st St,SW,R St,V St,3,Pavement Resurface/restoration,2004,100,Completed,0.34,6,LOCAL,6/23/2005 12:00:00 AM,,5/23/2005 12:00:00 AM,,398943.247680,133248.569660,38.86705845292720,-77.012176821458,,,,5678,,,
South Capitol St,SW,R St,S St,1,Pavement Resurface/restoration,2004,100,Completed,0.08,6,LOCAL,,,5/25/2005 12:00:00 AM,,399213.689730,133449.405850,38.86886795079330,-77.00906078211870,,,,4954,,,
Lawrence St,NE,7th St,8th St,1,Pavement Resurface/restoration,2004,100,Completed,0.06,5,LOCAL,,,5/27/2005 12:00:00 AM,,400384.080030,140388.963940,38.93138224072530,-76.99557030258560,,,,5584,,,
Legation St,NW,Mckinley St,31st St,3,Pavement Resurface/restoration,2004,100,Completed,0.26,4,LOCAL,3/31/2004 12:00:00 AM,,5/27/2005 12:00:00 AM,,394730.368570,143954.582310,38.963486599783,-77.06080344613360,,Citywide Pavement Restoration,Paul Stephenson,3977,Midibo Hylton,N/A,(202)6714591
8th St,SE,Xenia St,Atlantic St,2,Pavement Resurface/restoration,2005,100,Completed,0.14,8,LOCAL,,,5/27/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),400465.670910,129355.385010,38.83198745881640,-76.99463676937880,,CITY WIDE PAVEMENT RESTORATION CONTRACT (LOCAL STREETS),,8736,,,
Halley Pl,SE,Martin Luther King Jr Ave ,1st St,2,Pavement Resurface/restoration,2005,100,Completed,0.13,8,COLLECTOR,,,5/27/2005 12:00:00 AM,INFORMATION PROVIDED BY SYLVESTER (TEAM 4),399406.752290,129695.692920,38.83505303211660,-77.006832853039,,CITYWIDE PAVEMENT RESTORATION CONTRACT (LOCAL STREETS),,8737,,,
Adams St,NW,1st St,2nd St,2,Pavement Resurface/restoration,2004,100,Completed,0.15,5,LOCAL,7/28/2005 12:00:00 AM,,5/27/2005 12:00:00 AM,,398828.325020,139151.410010,38.920233266848,-77.01351112744760,,CIP_2004-2009,,4559,,,
Webster St,NE,14th St  South Dakota Ave,Michigan Ave,3,Traffic Calming,2005,100,Completed,0.32,5,LOCAL,,,5/30/2005 12:00:00 AM,,401508.383390,141815.620320,38.94423277195120,-76.98260027613830,,,,9099,,,
10th St,NE,Evarts St (S),Franklin St,2,School Signage,2005,100,Completed,0.09,5,LOCAL,,,5/31/2005 12:00:00 AM,,400656.804320,139673.689920,38.92493866771710,-76.99242558510430,,,,9085,,,
South Dakota Ave,NE,Galloway St,Hamilton St,1,School Signage,2005,100,Completed,0.10,5,PRINCIPAL ARTERIAL,,,5/31/2005 12:00:00 AM,,400218.004670,142805.204610,38.95314848888350,-76.997484926238,,,,9088,,,
Hamlin Pl,NE,Mills Ave,Hamlin St,3,Pavement Resurface/restoration,2004,100,Completed,0.08,5,LOCAL,,,6/1/2005 12:00:00 AM,,402389.802910,139954.008510,38.92746086165590,-76.97243928103780,,,,5089,,,
Central Ave,NE,Vista St,Carlton Ave,2,Pavement Resurface/restoration,2004,100,Completed,0.11,5,LOCAL,,,6/1/2005 12:00:00 AM,,402983.594340,140175.937340,38.92945824997910,-76.96559033848350,,,,5128,,,
29th St,NW,Kanawha St,Utah Ave,2,Pavement Resurface/restoration,1993,100,Completed,0.09,4,LOCAL,10/12/1993 12:00:00 AM,11/11/1993 12:00:00 AM,6/3/2005 12:00:00 AM,,394909.087640,144150.053480,38.96524850650880,-77.058742754714,N/A,Citywide Pavement Restoration,Paul Stephenson,880,Midbo Hylton ,N/A,(202)6714591
Hamlin St,NE,Hamlin Pl,25th St,1,Pavement Resurface/restoration,2004,100,Completed,0.03,5,LOCAL,,,6/3/2005 12:00:00 AM,,402473.849440,139982.347620,38.92771591661470,-76.97146990120620,,,,5566,,,
23rd St,NW,Tracy Pl,Kalorama Rd,3,Pavement Resurface/restoration,2004,100,Completed,0.10,2,LOCAL,4/4/2005 12:00:00 AM,,6/8/2005 12:00:00 AM,,395609.876830,138797.216160,38.91703238838270,-77.05062227604680,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract(Local Streets),Maduabuchi Udeh,4979,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Hawthorne St,NW,Cul De Sac (W),32nd St,1,Regular Cover,2003,100,Completed,0.09,3,LOCAL,4/9/2003 12:00:00 AM,,6/9/2005 12:00:00 AM,,394587.179420,140045.433980,38.92827102897480,-77.06242478428110,,,,6890,,,
3rd St,NW,Florida Ave (W),Rhode Island Ave,2,Reconstruction,1999,100,Completed,0.05,5,LOCAL,,,2/15/2005 12:00:00 AM,2 Year CIP 2001 - 2003  Extended the limit of the original project  due to an extra $5 000 000.00 for local streets  per Khalid,398632.528640,138468.879970,38.91408452798910,-77.01576758682040,Suspended the construction due to Pepco work,,,4791,,,
10th St,NE,Buchanan St,Decatur St,2,Pavement Resurface/restoration,2004,100,Completed,0.14,5,LOCAL,3/31/2004 12:00:00 AM,,2/17/2005 12:00:00 AM,Added per A. Mohamed,400637.914210,142152.594790,38.947269396252,-76.99264112563820,,,,5895,,,
63rd St,NE,Southern Ave,Banks Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.03,7,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,10/27/2005 12:00:00 AM,,407720.300070,135990.867290,38.89172887877690,-76.91100919624520,,,,5693,,,
40th Pl,SE,D St,E St,2,Pavement Resurface/restoration,2005,100,Completed,0.14,7,LOCAL,7/1/2008 12:00:00 AM,10/28/2005 12:00:00 AM,10/27/2005 12:00:00 AM,,404754.711010,135117.986520,38.88388668119040,-76.94519914988710,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,7343,Sylvester Okapala,,202-671-4613
Hawaii Ave,NE,Varnum St,Taylor St,1,Pavement Resurface/restoration,2004,100,Completed,0.18,5,COLLECTOR,4/4/2005 12:00:00 AM,7/25/2005 12:00:00 AM,10/28/2005 12:00:00 AM,,399953.069090,141548.440160,38.94182723021210,-77.00054134600120,,FedAid_6YR_CIP,Mohamed Abdullahi,4821,Said Cherifi,said.cherifi@dc.gov,202-671-4611
12th St,SW,C St,D St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,2,LOCAL,4/4/2005 12:00:00 AM,,10/28/2005 12:00:00 AM,,397559.6351,135293.011610,38.88547284364860,-77.02812726955230,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,5679,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
44th St,NE,Grant St,Gault Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.05,7,COLLECTOR,4/4/2005 12:00:00 AM,,8/23/2005 12:00:00 AM,,405274.973950,136764.280060,38.89871413575730,-76.93919017473950,,,,5687,,,
52nd St,SE,East Capitol St,Central Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.08,7,LOCAL,3/31/2004 12:00:00 AM,11/7/2005 12:00:00 AM,10/31/2005 12:00:00 AM,,406334.381570,135692.480890,38.88905198161560,-76.92698722552530,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,4689,Sylvester Okapala,,202-671-4613
Michigan Ave,NE,12th St,14th St,7,Federal Aid Resurfacing,2004,100,Completed,0.36,5,MINOR ARTERIAL,7/21/2005 12:00:00 AM,,10/31/2005 12:00:00 AM,,401039.372130,141424.646340,38.94071144607230,-76.98801107538760,,Street Resurfacing,Abdullahi Mohamed,6219,Morgan Prince,morgan.prince@dc.gov,202-671-4627
56th St,SE,Ayers Pl,Central Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.09,7,LOCAL,3/31/2004 12:00:00 AM,11/7/2005 12:00:00 AM,10/31/2005 12:00:00 AM,,406848.014630,135451.860440,38.88688053181070,-76.921069273434,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,4080,Sylvester Okapala,,202-671-4613
C St,SE,Texas Ave,Benning Rd (N),1,Pavement Resurface/restoration,2005,100,Completed,0.24,7,LOCAL,7/1/2006 12:00:00 AM,11/14/2005 12:00:00 AM,11/4/2005 12:00:00 AM,,405348.1409,135414.003420,38.886549904505,-76.93835721838430,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,4084,Sylvester Okapala,,202-671-4613
Plymouth Cir,NW,Plymouth St,Parkside Ln (C),2,Pavement Resurface/restoration,2004,100,Completed,0.05,4,LOCAL,4/4/2005 12:00:00 AM,,11/5/2005 12:00:00 AM,,395940.108440,146682.587430,38.98806751462510,-77.04686106854290,N/A,Citywidy Pavement Restoration,Paul Stephenson,5813,Madibo,N/A,202-6714591 
Good Hope Rd,SE,Martin Luther King Jr Ave,Naylor Rd (E),16,Pavement Resurface/restoration,2005,100,Completed,1.24,7/8,MINOR ARTERIAL,11/3/2005 12:00:00 AM,12/3/2005 12:00:00 AM,11/5/2005 12:00:00 AM,,401964.526750,133032.7966,38.86511312114290,-76.97736362705630,,,,8663,,,
Plymouth St,NW,Sudbury Ln (W),Plymouth St (N),1,Pavement Resurface/restoration,2005,100,Completed,0.04,4,LOCAL,7/1/2009 12:00:00 AM,,11/5/2005 12:00:00 AM,,396081.808250,146534.737830,38.98673629880320,-77.04522466134960,N/A,Citywide Pavement Restoration,Paul Stephenson,6967,Madibo,N/A,202-671-4591
1st St,NE,Longfellow St,Madison St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,4,LOCAL,4/4/2005 12:00:00 AM,11/7/2005 12:00:00 AM,11/7/2005 12:00:00 AM,,399456.399970,143364.894310,38.95819018051240,-77.00627184216720,n/a,Citywide Pavement Restoration,Paul Stephenson,5855,Deguzman,,202-671-4591
Longfellow St,NE,Blair Rd,1st St,1,Regular Cover,2004,100,Completed,0.10,4,LOCAL,3/31/2004 12:00:00 AM,11/7/2005 12:00:00 AM,11/7/2005 12:00:00 AM,2 Year CIP 2001 - 2003  Team leader will let us know why it was dropped,399374.400030,143305.836320,38.95765811618390,-77.00721787116750,N/A,Citywide Pavement Restoration,Paul Stephenson,2492,Deguzman,N/A,202-671-4591
Yuma St,NW,36th St,Reno Rd,1,Pavement Resurface/restoration,2005,100,Completed,0.10,3,LOCAL,7/1/2008 12:00:00 AM,11/8/2005 12:00:00 AM,11/8/2005 12:00:00 AM,,393863.285210,142044.970790,38.94627868636760,-77.07079116487540,N/A,Citywide Pavement Project,Paul Stephenson,7047,Rodney  Olive,N/A,202-671-4591
Dubois Pl,SE,Burbank St,Texas Ave,2,Pavement Resurface/restoration,2005,100,Completed,0.20,7,LOCAL,10/4/2005 12:00:00 AM,11/14/2005 12:00:00 AM,11/9/2005 12:00:00 AM,,404991.841190,135319.393980,38.88569972198250,-76.94246462229570,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,7379,Sylvester Okapala,,202-671-4613
34th St,SE,C St,Dubois Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.05,7,LOCAL,4/4/2005 12:00:00 AM,11/14/2005 12:00:00 AM,11/9/2005 12:00:00 AM,,403685.787490,135308.689630,38.885609738335,-76.95751809934050,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,5629,Sylvester Okapala,,202-671-4613
Burbank St,SE,C St,Texas Ave,3,Pavement Resurface/restoration,2005,100,Completed,0.31,7,LOCAL,10/4/2005 12:00:00 AM,11/14/2005 12:00:00 AM,11/9/2005 12:00:00 AM,,404897.773510,135194.897790,38.88457874199040,-76.94354972241390,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,8831,Sylvester Okapala,,202-671-4613
Ely Pl,SE,Cul De Sac,32nd St,1,Pavement Resurface/restoration,2005,100,Completed,0.03,7,LOCAL,7/1/2006 12:00:00 AM,11/14/2005 12:00:00 AM,11/10/2005 12:00:00 AM,,403320.342530,135086.982780,38.88361397434390,-76.96173124047280,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,7385,Sylvester Okapala,,202-671-4613
W St,SE,30th St (S),31st St,2,Pavement Resurface/restoration,2004,100,Completed,0.09,7,LOCAL,4/4/2005 12:00:00 AM,11/14/2005 12:00:00 AM,11/10/2005 12:00:00 AM,,403127.629540,132786.298810,38.86288919976880,-76.96396283034830,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,5907,Sylvester Okapala,,202-671-4613
U St,SE,Branch Ave,36th Pl,2,Pavement Resurface/restoration,2004,100,Completed,0.13,7,LOCAL,3/31/2004 12:00:00 AM,11/14/2005 12:00:00 AM,11/10/2005 12:00:00 AM,,403598.081250,133070.935610,38.86545152694990,-76.95854070339690,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,4270,Sylvester Okapala,,202-671-4613
C St,SE,Burbank St,Texas Ave,1,Pavement Resurface/restoration,2005,100,Completed,0.24,7,LOCAL,10/26/2005 12:00:00 AM,11/14/2005 12:00:00 AM,11/14/2005 12:00:00 AM,,404963.1153,135409.134360,38.88650829994880,-76.94279506530120,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,8834,Sylvester Okapala,,202-671-4613
30th St,NW,Olive St,N St,1,Pavement Resurface/restoration,2005,100,Completed,0.05,2,COLLECTOR,7/1/2006 12:00:00 AM,,11/16/2005 12:00:00 AM,,394867.023740,137623.077630,38.90645132751690,-77.05917929633210,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,7649,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
30th St,NW,Dumbarton St,O St,1,Pavement Resurface/restoration,2005,100,Completed,0.06,2,COLLECTOR,7/1/2006 12:00:00 AM,,11/16/2005 12:00:00 AM,,394864.286140,137803.488250,38.90807651259180,-77.05921220790290,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,7650,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
34th St,NW,Reservoir Rd,Wisconsin Ave,2,Pavement Resurface/restoration,2005,100,Completed,0.21,2,COLLECTOR,7/1/2006 12:00:00 AM,,11/16/2005 12:00:00 AM,,394109.589820,138487.5927,38.91423442282810,-77.06791934364890,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,6503,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
17th St,NE,Webster St,Allison St,1,Pavement Resurface/restoration,2005,100,Completed,0.07,5,LOCAL,7/1/2007 12:00:00 AM,,11/21/2005 12:00:00 AM,,401588.557150,141872.295040,38.94474317259650,-76.98167531289210,,,,7073,,,
Fort Totten Dr,NE,2nd St  Hawaii Ave,Crittenden St,4,Pavement Resurface/restoration,2005,100,Completed,0.31,5,COLLECTOR,,,11/22/2005 12:00:00 AM,,399536.751970,142018.321060,38.94605993034530,-77.00534386310790,,,,8916,,,
Pierce Mill Rd,NW,Park Rd,Cul De Sac,1,Pavement Resurface/restoration,2004,100,Completed,0.09,1,LOCAL,3/31/2004 12:00:00 AM,,11/23/2005 12:00:00 AM,,396010.605910,140681.760580,38.93401086899140,-77.04601244416260,POKA-2003-B-0048,Citywide Pavement Restoration (Local Streets),Maduabuchi Udeh,3410,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Mount Pleasant St,NW,Park Rd (W),Newton St,1,Pavement Resurface/restoration,2004,100,Completed,0.12,1,LOCAL,3/31/2004 12:00:00 AM,,11/23/2005 12:00:00 AM,Added to IDIQ04 per Team 1,396538.123670,140605.121180,38.93332271498030,-77.03992783081980,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,2128,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
17th St,NW,Newton St,Piney Branch Pky,2,Pavement Resurface/restoration,2004,100,Completed,0.22,1/4,LOCAL,7/1/2005 12:00:00 AM,,11/23/2005 12:00:00 AM,,396614.515230,140854.430270,38.93556886383050,-77.03904799263160,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,8722,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
5th St,NW,Florida Ave (W),U St,3,Pavement Resurface/restoration,2004,100,Completed,0.13,1/2,LOCAL,,,8/23/2005 12:00:00 AM,,398392.116380,138649.423420,38.91571051672710,-77.01854007577270,POKA-2004-B-0010-JJ,Rehabilitation of Special Streets in LeDroit Park ,Maduabuchi Udeh,8555,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Farragut St,NW,Georgia Ave,13th St,2,Pavement Resurface/restoration,2004,100,Completed,0.13,4,LOCAL,,,8/23/2005 12:00:00 AM,,397530.290040,142545.152390,38.95080242326550,-77.02849158409210,,,,9900,,,
Vista St,NE,Franklin St,27th St,1,Pavement Resurface/restoration,2004,100,Completed,0.03,5,COLLECTOR,7/1/2005 12:00:00 AM,,8/24/2005 12:00:00 AM,,402677.856290,139763.1975,38.92574114552460,-76.96911801190030,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5497,Said Cherifi,said.cherifi@dc.gov,202-671-4611
50th St,NE,East Capitol St (E),Brooks St,3,Federal Aid Resurfacing,2004,100,Completed,0.17,7,COLLECTOR,12/31/2004 12:00:00 AM,,8/24/2005 12:00:00 AM,,406067.991720,135908.121020,38.89099642703630,-76.93005584253450,,Federal Aid City Wide Pavement Restoration Contract,Samuel Olatunji,6176,,,
14th St,SE,E St,G St,1,Pavement Resurface/restoration,2004,100,Completed,0.11,6,LOCAL,4/4/2005 12:00:00 AM,,8/24/2005 12:00:00 AM,ON Hold for WASA,401257.314140,134913.040090,38.88205240196450,-76.98550908594350,,,,5622,,,
3rd St,SE,D St (S),South Carolina Ave,2,Pavement Resurface/restoration,2004,100,Completed,0.14,6,LOCAL,4/4/2005 12:00:00 AM,,8/24/2005 12:00:00 AM,WASA Lead Location FY-05,399823.018430,135050.130520,38.88328824662440,-77.00203979979930,,,,5842,,,
3rd St,SE,Pennsylvania Ave,D St (S),3,Pavement Resurface/restoration,2005,100,Completed,0.19,6,LOCAL,9/1/2009 12:00:00 AM,,8/24/2005 12:00:00 AM,,399822.969440,135257.414680,38.885155541837,-77.00204041783170,,,,5844,,,
Vista St,NE,27th St,South Dakota Ave,2,Pavement Resurface/restoration,2005,100,Completed,0.30,5,COLLECTOR,7/1/2006 12:00:00 AM,,8/24/2005 12:00:00 AM,,402863.924130,139949.593060,38.92741966853380,-76.96697143405820,,,,8272,,,
Banneker Dr,NE,Bladensburg Rd,Berry Rd,2,Pavement Resurface/restoration,2004,100,Completed,0.22,5,LOCAL,4/4/2005 12:00:00 AM,,8/25/2005 12:00:00 AM,On Hold for WASA's LSR,403365.439070,139874.907680,38.92674510157990,-76.96118801665260,,,,5050,,,
11th St,NW,I St,K St,1,Pavement Resurface/restoration,2004,100,Completed,0.11,2,MINOR ARTERIAL,3/31/2004 12:00:00 AM,,9/2/2005 12:00:00 AM,,397654.734650,137119.710590,38.90192867936860,-77.02703740261760,POKA-2004-B-0016-JJ,Federal Aid Citywide Pavement Restoration,Maduabuchi Udeh,4461,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Nebraska Ave,NW,Livingston St,32nd St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,4,COLLECTOR,4/4/2005 12:00:00 AM,,8/25/2005 12:00:00 AM,,394440.598780,143940.480840,38.96335778381230,-77.06414682866620,N/A,Citywide Pavement Restoration,Paul Stephenson,5295,M. Howard and O. Hill,N/A,N/A
New Jersey Ave,NW,K St,New York Ave,3,Pavement Resurface/restoration,2005,100,Completed,0.20,6,MINOR ARTERIAL,7/1/2005 12:00:00 AM,,8/25/2005 12:00:00 AM,,398764.725310,137342.690210,38.90393961931860,-77.01424127139870,,,,8546,,,
Bay St,SE,17th St,19th St,3,Pavement Resurface/restoration,2004,100,Completed,0.20,6,LOCAL,4/4/2005 12:00:00 AM,,8/25/2005 12:00:00 AM,WASA Lead Location FY-05,401820.875710,135423.150880,38.88664668892050,-76.97901252219080,,,,3701,,,
West Virginia Ave,NE,Owen Pl,Penn St,1,Pavement Resurface/restoration,2004,100,Completed,0.04,5,MINOR ARTERIAL,7/1/2005 12:00:00 AM,,8/26/2005 12:00:00 AM,,400898.877050,137689.3296,38.907062676468,-76.989636545946,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5498,Said Cherifi,said.cherifi@dc.gov,202-671-4611
West Virginia Ave,NE,Penn St,Mount Olivet Rd,5,Pavement Resurface/restoration,2005,100,Completed,0.29,5,MINOR ARTERIAL,8/8/2005 12:00:00 AM,,8/26/2005 12:00:00 AM,Abdullahi extend the limit  during the paving ,401077.066560,137891.603170,38.90888462636720,-76.98758182229180,,,,8545,,,
Fessenden St,NW,41st St,Wisconsin Ave,2,Pavement Resurface/restoration,2004,100,Completed,0.13,3,COLLECTOR,4/4/2005 12:00:00 AM,,8/30/2005 12:00:00 AM,,392938.555260,142980.962950,38.954703409862,-77.08146818217090,N/A,City Pavement Restoration,Paul Stephenson,5257,Mike,N/A,202-671-4591
Fessenden St,NW,43rd Pl,44th St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,3,COLLECTOR,4/4/2005 12:00:00 AM,,8/30/2005 12:00:00 AM,,392580.330010,142981.404610,38.954704435558,-77.085601044219,N/A,Citywide Pavement Restoration,Paul Stephenson,5258,Mike,N/A,202-671-4591
Park Rd,NW,Warder St,Georgia Ave (S),1,Pavement Resurface/restoration,2004,100,Completed,0.19,1,COLLECTOR,4/4/2005 12:00:00 AM,,8/30/2005 12:00:00 AM,,398081.520220,140565.612770,38.93297153676410,-77.022126832334,,Federal Aid Citywide Pavement Restoration,Maurice Prince,5196,,,
Fessenden St,NW,Wisconsin Ave,43rd Pl,2,Pavement Resurface/restoration,2005,100,Completed,0.13,3,COLLECTOR,7/1/2007 12:00:00 AM,,8/30/2005 12:00:00 AM,,392735.385240,142981.204160,38.95470392592270,-77.08381216441260,N/A,Citywide Pavement Restoration,Paul Stephenson,7742,M. Howard,N/A,202-671-4591
14th St,NW,S St,Wallach Pl,3,Pavement Resurface/restoration,2004,100,Completed,0.15,1/2,PRINCIPAL ARTERIAL,4/4/2005 12:00:00 AM,,9/2/2005 12:00:00 AM,,397228.911960,138592.160860,38.91519177863770,-77.03195244270690,POKA-2004-B-0016-JJ,Federal Aid Citywide Pavement Restoration,Maduabuchi Udeh,5198,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Carlton Ave,NE,South Dakota Ave,Central Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.17,5,LOCAL,4/4/2005 12:00:00 AM,,9/2/2005 12:00:00 AM,On Hold for WASA,402815.265440,140161.6409,38.92933001866850,-76.96753172671340,,WASA,,5526,,,
Fulton Pl,NE,20th St,Cul De Sac,1,Pavement Resurface/restoration,2004,100,Completed,0.05,5,LOCAL,7/4/2005 12:00:00 AM,,9/2/2005 12:00:00 AM,,402104.701280,140060.759420,38.92842323629250,-76.97572692587930,,CIP_2004-2009,,4867,,,
I St,NE,12th St,13th St,1,Pavement Resurface/restoration,2004,100,Completed,0.10,6,LOCAL,4/4/2005 12:00:00 AM,,9/2/2005 12:00:00 AM,On HOld For WASA,400930.145020,137051.709280,38.90131873589750,-76.98927691058420,,,,5577,,,
D St,NW,North Capitol St,Mitch Snyder Pl,4,Pavement Resurface/restoration,2005,100,Completed,0.25,6,COLLECTOR,8/11/2005 12:00:00 AM,,9/2/2005 12:00:00 AM,,399014.013050,136326.452960,38.89478530390440,-77.01136581686230,,,,8530,,,
Lawrence St,NE,14th St,15th St,1,Reconstruction,1999,100,Completed,0.10,5,LOCAL,9/30/2005 12:00:00 AM,,9/2/2005 12:00:00 AM,IDIQ05,401272.659680,140439.2599,38.93183448440020,-76.98532198335730,,,,2532,,,
New York Ave,NW,6th St,Mt Vernon Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.13,2,PRINCIPAL ARTERIAL,3/31/2004 12:00:00 AM,,9/2/2005 12:00:00 AM,,398187.268220,137264.277370,38.90323224762290,-77.02089846863710,POKA-2004-B-0016-JJ,Federal Aid Citywide Pavement Restoration,Maduabuchi Udeh,4457,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
12th St,NW,I St,K St,1,Pavement Resurface/restoration,2004,100,Completed,0.09,2,MINOR ARTERIAL,3/31/2004 12:00:00 AM,,9/2/2005 12:00:00 AM,Location requested at obligation meeting 1/18/2001,397564.417440,137119.332450,38.90192502733820,-77.02807862359250,POKA-2004-B-0016-JJ,Federal Aid Citywide Pavement Restoration,Maduabuchi Udeh,3879,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Central Ave,NE,Carlton Ave,Myrtle Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.09,5,LOCAL,7/30/2005 12:00:00 AM,,9/2/2005 12:00:00 AM,On Hold for WASA,402876.276290,140291.606750,38.93050059352930,-76.96682754794180,,,,2929,,,
Elliott St,NE,F St,Maryland Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.11,6,LOCAL,4/4/2005 12:00:00 AM,,9/2/2005 12:00:00 AM,On Hold for WASA,401170.285530,136694.453790,38.89810016334070,-76.98650908198590,,,,5548,,,
Benning Rd,SE,F St,Hanna Pl (N),3,Pavement Resurface/restoration,2005,100,Completed,0.20,7,MINOR ARTERIAL,,,9/6/2005 12:00:00 AM,,405884.867460,134671.929790,38.87986159256950,-76.93217725378890,,,,8328,,,
Florida Ave,NE,West Virginia Ave,10th St,1,Pavement Resurface/restoration,2004,100,Completed,0.03,5/6,PRINCIPAL ARTERIAL,7/1/2005 12:00:00 AM,,9/8/2005 12:00:00 AM,,400616.920410,137337.375070,38.90389239015730,-76.992887634453,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5507,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Whittier Pl,NW,8th St,Georgia Ave,1,Regular Cover,2005,100,Completed,0.15,4,LOCAL,7/1/2006 12:00:00 AM,9/8/2005 12:00:00 AM,9/8/2005 12:00:00 AM,,397773.756830,144839.439680,38.97147059735570,-77.02569030033920,N/A,Citywide Pavement Restoration,Paul Stephenson,7041,Midibo Hylton,N/A,202-671-4591
1st St,NE,Riggs Rd,Kennedy St,1,Pavement Resurface/restoration,2004,100,Completed,0.09,4,LOCAL,4/4/2005 12:00:00 AM,9/8/2005 12:00:00 AM,9/8/2005 12:00:00 AM,,399456.150750,143120.9633,38.95599278594550,-77.00627452412850,N/A,Citywide pavement Restoration ,Paul Stephenson,4008,Deguzman,N/A,202-671-4591
